Country,Year,Total_Emissions_UNFCCC,Total_Net_Emissions_UNFCCC
AT,1990,79621.23653,65865.19574
AT,1991,83293.09815,64223.53405
AT,1992,76723.74943,63236.59931
AT,1993,77094.77495,61454.65025
AT,1994,77304.14579,64221.88426
AT,1995,80570.10731,62173.43165
AT,1996,83756.49625,68816.65227
AT,1997,83380.10321,61067.43437
AT,1998,82702.45726,62072.20426
AT,1999,81161.21077,59193.07037
AT,2000,81388.76419,63328.75757
AT,2001,85278.36358,60855.01613
AT,2002,87042.7544,71158.4682
AT,2003,92414.37058,81454.11142
AT,2004,92214.45494,76402.46456
AT,2005,93340.71697,78113.0226
AT,2006,90899.93471,82418.26613
AT,2007,88097.05372,80090.45954
AT,2008,87509.81663,77713.53198
AT,2009,80896.16723,71390.94949
AT,2010,85441.91503,73708.18791
AT,2011,83250.54725,72223.4325
AT,2012,80487.1114,71330.88544
AT,2013,80867.74624,75848.0399
AT,2014,77215.1644,67387.46943
AT,2015,79358.98369,75273.99819
AT,2016,80319.39742,72194.71465
AT,2017,82635.36107,78205.06326
AT,2018,79441.49409,81272.80072
AT,2019,80640.66815,86642.58835
AT,2020,74678.7887,73728.9176
AT,2021,78073.24983,74711.50572
AT,2022,73515.15099,73308.67881
AT,2023,68695.9233,76225.90876
BE,1990,145640.24214,142801.07132
BE,1991,148407.17982,146035.9398
BE,1992,147829.62986,145641.40393
BE,1993,146549.57765,144351.84551
BE,1994,151197.97107,149254.56243
BE,1995,153314.97512,151146.67343
BE,1996,156872.15566,154512.11939
BE,1997,148399.61067,146489.7873
BE,1998,153669.42558,151207.34807
BE,1999,147244.38529,145107.41923
BE,2000,148430.71848,146703.90297
BE,2001,146846.33698,145280.12457
BE,2002,146926.5475,144758.08414
BE,2003,147242.96654,145169.75029
BE,2004,148087.172,146281.82429
BE,2005,145000.90096,143139.796
BE,2006,142370.69923,140524.53591
BE,2007,138761.60656,137209.15664
BE,2008,138741.15069,137254.83596
BE,2009,126086.70332,124758.14108
BE,2010,133281.83805,132803.56547
BE,2011,122863.01587,122426.69243
BE,2012,120158.11699,119667.7261
BE,2013,120235.756,119317.6654
BE,2014,114502.96176,113539.88127
BE,2015,118670.1178,117818.94364
BE,2016,117228.92106,116450.81076
BE,2017,116613.09668,115953.48907
BE,2018,117365.46815,116742.31064
BE,2019,116324.42455,115937.38571
BE,2020,106967.9077,106569.26859
BE,2021,109764.29461,109433.88024
BE,2022,102976.57499,102460.18337
BE,2023,98221.22971,97915.16454
BG,1990,99008.1162,81762.03014
BG,1991,81004.9365,63801.70836
BG,1992,75470.73205,58874.47634
BG,1993,74787.04124,58017.54513
