geo,Sector_name,OBS_VALUE,TIME_PERIOD
AT,4.A.1 - Forest Land remaining forest land,-16839.67747,1991.0
AT,4.A.1 - Forest Land remaining forest land,-13686.05405,1993.0
AT,4.A.1 - Forest Land remaining forest land,-16349.46276,2000.0
AT,4.A.1 - Forest Land remaining forest land,-21898.30782,2001.0
AT,4.A.1 - Forest Land remaining forest land,-9282.24563,2011.0
AT,4.A.1 - Forest Land remaining forest land,-4923.86027,2013.0
AT,4.A.2 - Land converted to forest land,-3037.59525,1991.0
AT,4.A.2 - Land converted to forest land,-2771.23085,1996.0
AT,4.A.2 - Land converted to forest land,-2088.46809,2004.0
AT,4.A - Forest Land,-14584.24852,1992.0
AT,4.A - Forest Land,-13475.88559,1994.0
AT,4.A - Forest Land,-14561.94692,1996.0
AT,4.A - Forest Land,-14511.65625,2005.0
AT,4.A - Forest Land,-4316.57627,2021.0
AT,4.A.1 - Forest Land remaining forest land,-19591.04561,1997.0
AT,4.A.1 - Forest Land remaining forest land,-18146.12405,1998.0
AT,4.A.1 - Forest Land remaining forest land,-12813.04613,2002.0
AT,4.A.1 - Forest Land remaining forest land,-5846.39536,2008.0
AT,4.A.1 - Forest Land remaining forest land,-2172.59819,2020.0
AT,4.A.2 - Land converted to forest land,-2595.59742,1997.0
AT,4.A.2 - Land converted to forest land,-1565.30695,2015.0
AT,4.A.2 - Land converted to forest land,-1449.91208,2020.0
AT,4.G - Harvested Wood Products,-3122.26586,1990.0
AT,4.G - Harvested Wood Products,-2569.36657,1995.0
AT,4.G - Harvested Wood Products,-3802.88846,2006.0
AT,4.G - Harvested Wood Products,-1138.10855,2013.0
AT,4.G - Harvested Wood Products,-1839.7098,1992.0
AT,4.G - Harvested Wood Products,-2964.42689,1996.0
AT,4.G - Harvested Wood Products,-1888.83837,2000.0
AT,4.G - Harvested Wood Products,-3448.42065,2004.0
AT,4.G - Harvested Wood Products,-4755.20577,2008.0
AT,4.G - Harvested Wood Products,-1137.40797,2016.0
AT,4.G - Harvested Wood Products,-1719.26178,2017.0
AT,4.G - Harvested Wood Products,-1889.39503,2021.0
AT,4.A - Forest Land,-22186.64303,1997.0
AT,4.A - Forest Land,-20565.96581,1998.0
AT,4.A - Forest Land,-9479.80823,2003.0
AT,4.A - Forest Land,-7414.1388,2006.0
AT,4.A - Forest Land,-11068.77543,2011.0
AT,4.A.1 - Forest Land remaining forest land,-20175.95086,1999.0
AT,4.A.1 - Forest Land remaining forest land,-5375.2672,2006.0
AT,4.A.1 - Forest Land remaining forest land,-10178.29074,2010.0
AT,4.A.2 - Land converted to forest land,-3145.94003,1992.0
AT,4.A.2 - Land converted to forest land,-3120.90592,1994.0
AT,4.A.2 - Land converted to forest land,-2946.85724,1995.0
AT,4.A.2 - Land converted to forest land,-2175.68527,2002.0
AT,4.A.2 - Land converted to forest land,-1426.42185,2021.0
AT,4.B.1 - Cropland remaining cropland,-103.28241,2007.0
AT,4.B.1 - Cropland remaining cropland,-72.50742,2010.0
AT,4.B.1 - Cropland remaining cropland,-69.34143,2013.0
AT,4.G - Harvested Wood Products,-2595.03328,1998.0
AT,4.G - Harvested Wood Products,-1126.42314,2009.0
AT,4.G - Harvested Wood Products,-2451.70317,2010.0
AT,4.G - Harvested Wood Products,-2055.0909,2012.0
AT,4.G - Harvested Wood Products,-1254.20267,2015.0
AT,4.G - Harvested Wood Products,-1461.69613,2019.0
AT,4.A - Forest Land,-16940.34455,1993.0
AT,4.A - Forest Land,-11136.3196,2009.0
AT,4.A - Forest Land,-6578.17393,2013.0
AT,4.A - Forest Land,-5527.72563,2015.0
AT,4.A.1 - Forest Land remaining forest land,-8182.4621,2016.0
AT,4.A.2 - Land converted to forest land,-2929.25151,1990.0
AT,4.A.2 - Land converted to forest land,-2419.84176,1998.0
AT,4.A.2 - Land converted to forest land,-2238.31712,2001.0
AT,4.A.2 - Land converted to forest land,-2063.61032,2005.0
AT,4.A.2 - Land converted to forest land,-2014.13168,2007.0
AT,4.A.2 - Land converted to forest land,-1786.52979,2011.0
AT,4.A.2 - Land converted to forest land,-1720.42323,2012.0
AT,4.B.1 - Cropland remaining cropland,-74.83973,2009.0
AT,4.B.1 - Cropland remaining cropland,-75.29458,2011.0
AT,4.B.1 - Cropland remaining cropland,-2.14264,2015.0
AT,4.G - Harvested Wood Products,-2603.77567,1994.0
AT,4.G - Harvested Wood Products,-2685.7461,1997.0
AT,4.G - Harvested Wood Products,-1943.11417,1999.0
AT,4.G - Harvested Wood Products,-2701.18413,2001.0
AT,4.G - Harvested Wood Products,-1371.9201,2014.0
AT,4.G - Harvested Wood Products,-1969.31905,2018.0
AT,4.G - Harvested Wood Products,-677.87435,2023.0
AT,4.A - Forest Land,-18648.32179,2000.0
AT,4.A - Forest Land,-15097.75377,2004.0
AT,4.A - Forest Land,-5649.66452,2007.0
AT,4.A.1 - Forest Land remaining forest land,-10602.66941,1990.0
AT,4.A.1 - Forest Land remaining forest land,-11438.30849,1992.0
AT,4.A.1 - Forest Land remaining forest land,-10354.97967,1994.0
AT,4.A.1 - Forest Land remaining forest land,-15466.46392,1995.0
AT,4.A.1 - Forest Land remaining forest land,-11790.71607,1996.0
AT,4.A.1 - Forest Land remaining forest land,-9548.89899,2014.0
AT,4.A.1 - Forest Land remaining forest land,-3962.41868,2015.0
AT,4.A.2 - Land converted to forest land,-2359.40452,1999.0
AT,4.A.2 - Land converted to forest land,-2298.85902,2000.0
AT,4.A.2 - Land converted to forest land,-2038.87161,2006.0
AT,4.A.2 - Land converted to forest land,-1852.68424,2010.0
AT,4.A.2 - Land converted to forest land,-1405.8507,2022.0
AT,4.B.1 - Cropland remaining cropland,-72.52335,2002.0
AT,4.B.1 - Cropland remaining cropland,-82.42372,2004.0
AT,4.G - Harvested Wood Products,-3635.33837,2002.0
AT,4.G - Harvested Wood Products,-4223.32518,2003.0
AT,4.G - Harvested Wood Products,-5045.27604,2007.0
AT,4.A - Forest Land,-13531.92092,1990.0
AT,4.A - Forest Land,-18413.32116,1995.0
AT,4.A - Forest Land,-24136.62494,2001.0
AT,4.A - Forest Land,-7835.7859,2008.0
AT,4.A - Forest Land,-9805.54848,2012.0
AT,4.A - Forest Land,-11137.1001,2014.0
AT,4.A - Forest Land,-5459.17496,2017.0
AT,4.A - Forest Land,-3622.51027,2020.0
AT,4.A.2 - Land converted to forest land,-1588.20111,2014.0
AT,4.A.2 - Land converted to forest land,-1542.45642,2016.0
AT,4.A.2 - Land converted to forest land,-1385.28913,2023.0
AT,4.B.1 - Cropland remaining cropland,-70.27446,2006.0
AT,4.B.1 - Cropland remaining cropland,-55.79967,2008.0
AT,4.B.1 - Cropland remaining cropland,-82.04317,2012.0
AT,4.B.1 - Cropland remaining cropland,-48.25309,2014.0
AT,4.A - Forest Land,-19877.27272,1991.0
AT,4.A.1 - Forest Land remaining forest land,-12448.04593,2005.0
AT,4.A.1 - Forest Land remaining forest land,-3939.56935,2017.0
AT,4.A.1 - Forest Land remaining forest land,-2890.15443,2021.0
AT,4.A.2 - Land converted to forest land,-1989.39054,2008.0
AT,4.A.2 - Land converted to forest land,-1519.60561,2017.0
AT,4.A.2 - Land converted to forest land,-1496.75452,2018.0
AT,4.A.2 - Land converted to forest land,-1473.40298,2019.0
AT,4.A - Forest Land,-22535.35538,1999.0
AT,4.A - Forest Land,-14988.7314,2002.0
AT,4.G - Harvested Wood Products,-1667.22516,1993.0
AT,4.G - Harvested Wood Products,-2687.23151,2011.0
AT,4.A - Forest Land,-12030.97497,2010.0
AT,4.A - Forest Land,-9724.91852,2016.0
AT,4.A - Forest Land,-1073.46274,2022.0
AT,4.A.1 - Forest Land remaining forest land,-7367.6471,2003.0
AT,4.A.1 - Forest Land remaining forest land,-13009.28568,2004.0
AT,4.A.1 - Forest Land remaining forest land,-3635.53284,2007.0
AT,4.A.1 - Forest Land remaining forest land,-9217.48398,2009.0
AT,4.A.1 - Forest Land remaining forest land,-8085.12525,2012.0
AT,4.A.2 - Land converted to forest land,-3254.2905,1993.0
AT,4.A.2 - Land converted to forest land,-2112.16114,2003.0
AT,4.A.2 - Land converted to forest land,-1918.83562,2009.0
AT,4.A.2 - Land converted to forest land,-1654.31367,2013.0
AT,4.B.1 - Cropland remaining cropland,-36.9995,2001.0
AT,4.B.1 - Cropland remaining cropland,-74.83219,2003.0
AT,4.B.1 - Cropland remaining cropland,-70.55029,2005.0
AT,4.G - Harvested Wood Products,-2098.46178,1991.0
AT,4.G - Harvested Wood Products,-121.71423,2020.0
AT,4.G - Harvested Wood Products,-1991.82578,2022.0
AT,4.G - Harvested Wood Products,-3461.32885,2005.0
BE,4.A - Forest Land,-2116.1382,2001.0
BE,4.A - Forest Land,-2183.91292,2011.0
BE,4.A.1 - Forest Land remaining forest land,-1886.49291,1998.0
BE,4.A.1 - Forest Land remaining forest land,-1881.16037,2001.0
BE,4.A.1 - Forest Land remaining forest land,-1755.12875,2003.0
BE,4.A.1 - Forest Land remaining forest land,-1748.89538,2006.0
BE,4.A.2 - Land converted to forest land,-254.83789,2002.0
BE,4.A.2 - Land converted to forest land,-488.79365,2012.0
BE,4.A.2 - Land converted to forest land,-557.03768,2018.0
BE,4.A.2 - Land converted to forest land,-577.00173,2019.0
BE,4.C - Grassland,-109.86831,1992.0
BE,4.C - Grassland,-143.16098,1996.0
BE,4.C - Grassland,-153.24133,1997.0
BE,4.C - Grassland,-172.19264,1999.0
BE,4.C.2 - Land converted to grassland,-35.92645,1997.0
BE,4.C.2 - Land converted to grassland,-120.33057,2004.0
BE,4.D - Wetlands,-4.55677,2010.0
BE,4.A - Forest Land,-2065.38675,2005.0
BE,4.A - Forest Land,-2153.00576,2010.0
BE,4.A - Forest Land,-2007.17433,2018.0
BE,4.A.1 - Forest Land remaining forest land,-1906.53463,1990.0
BE,4.A.1 - Forest Land remaining forest land,-1894.14235,1995.0
BE,4.A.1 - Forest Land remaining forest land,-1746.79293,2007.0
BE,4.A.1 - Forest Land remaining forest land,-1547.06942,2014.0
BE,4.A.1 - Forest Land remaining forest land,-1336.80002,2021.0
BE,4.A.2 - Land converted to forest land,-12.42027,1993.0
BE,4.A.2 - Land converted to forest land,-334.26197,2006.0
BE,4.A.2 - Land converted to forest land,-414.91981,2010.0
BE,4.A.2 - Land converted to forest land,-617.00254,2021.0
BE,4.A.2 - Land converted to forest land,-637.03924,2022.0
